Incident ID,Year,Month,Country,Region,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive
205,2002,11,DR Congo,,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Unknown
198,2002,11,Occupied Palestinian Territories,West Bank,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Project site,Incidental
204,2002,11,Afghanistan,Balkh,Charbolak,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
202,2002,11,Angola,Cuando Cubango,,0,12,0,0,0,0,7,5,0,12,0,0,0,0,7,5,0,12,0,0,12,Landmine ,Ambush,Road,Incidental
209,2002,12,Yemen,,,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,Unknown,Unknown,Unknown,Unknown
208,2002,12,Congo,Bouenza,,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,Unknown
207,2002,12,Occupied Palestinian Territories,Gaza Strip,"Bureij Camp, east of the Salah al-Din Road",2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,Unknown,Combat/Crossfire,Project site,Incidental
274,2003,,Occupied Palestinian Territories,Gaza Strip,,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Shooting,Combat/Crossfire,Unknown,Incidental
275,2003,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
213,2003,1,DR Congo,South Kivu,Uvira,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,5,Shooting,Ambush,Road,Unknown
214,2003,1,Kashmir,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown
217,2003,2,Chechnya,,,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Unknown,Unknown,Unknown
218,2003,2,Uganda,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,Unknown
215,2003,2,Occupied Palestinian Territories,Gaza Strip,Yunis Refugee Camp,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Project site,Unknown
216,2003,2,Kenya,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Unknown,Unknown,Unknown,Unknown
219,2003,3,Somalia,Lower Juba,Kismayo,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown
222,2003,3,Cote D'Ivoire,,,0,0,0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,5,0,0,5,Unknown,Unknown,Unknown,Unknown
